Warehouse,Country,Region/State,Zip/Postal Code,Weight (and above),Method,Shipping Price
0,USA,AK,,1,1,9.99
0,USA,AK,,2,1,9.99
0,USA,AK,,3,1,9.99
0,USA,AK,,4,1,9.99
0,USA,AK,,5,1,9.99
0,USA,AK,,6,1,9.99
0,USA,AK,,7,1,9.99
0,USA,AK,,8,1,9.99
0,USA,AK,,9,1,9.99
0,USA,AK,,10,1,9.99
0,USA,AK,,11,1,9.99
0,USA,AK,,12,1,9.99
0,USA,AK,,13,1,9.99
0,USA,AK,,14,1,9.99
0,USA,AK,,15,1,9.99
0,USA,AK,,16,1,9.99
0,USA,AK,,17,1,9.99
0,USA,AK,,18,1,9.99
0,USA,AK,,19,1,9.99
0,USA,AK,,20,1,9.99
0,USA,AK,,21,1,9.99
0,USA,AK,,22,1,9.99
0,USA,AK,,23,1,9.99
0,USA,AK,,24,1,0
0,USA,AK,,25,1,0
0,USA,AK,,26,1,0
0,USA,AK,,27,1,0
0,USA,AK,,28,1,0
0,USA,AK,,29,1,0
0,USA,AK,,30,1,0
0,USA,AK,,31,1,0
0,USA,AK,,32,1,0
0,USA,AK,,33,1,0
0,USA,AK,,34,1,0
0,USA,AK,,35,1,0
0,USA,AK,,36,1,0
0,USA,AK,,37,1,0
0,USA,AK,,38,1,0
0,USA,AK,,39,1,0
0,USA,AK,,40,1,0
0,USA,AK,,41,1,0
0,USA,AK,,42,1,0
0,USA,AK,,43,1,0
0,USA,AK,,44,1,0
0,USA,AK,,45,1,0
0,USA,AK,,46,1,0
0,USA,AK,,47,1,0
0,USA,AK,,48,1,0
0,USA,AK,,49,1,0
0,USA,AK,,50,1,0
0,USA,AK,,51,1,0
0,USA,AK,,52,1,0
0,USA,AK,,53,1,0
0,USA,AK,,54,1,0
0,USA,AK,,55,1,0
0,USA,AK,,56,1,0
0,USA,AK,,57,1,0
0,USA,AK,,58,1,0
0,USA,AK,,59,1,0
0,USA,AK,,60,1,0
0,USA,AK,,61,1,0
0,USA,AK,,62,1,0
0,USA,AK,,63,1,0
0,USA,AK,,64,1,0
0,USA,AK,,65,1,0
0,USA,AK,,66,1,0
0,USA,AK,,67,1,0
0,USA,AK,,68,1,0
0,USA,AK,,69,1,0
0,USA,AK,,70,1,0
0,USA,AK,,71,1,0
0,USA,AK,,72,1,0
0,USA,AK,,73,1,0
0,USA,AK,,74,1,0
0,USA,AK,,75,1,0
0,USA,AK,,76,1,0
0,USA,AK,,77,1,0
0,USA,AK,,78,1,0
0,USA,AK,,79,1,0
0,USA,AK,,80,1,0
0,USA,AK,,81,1,0
0,USA,AK,,82,1,0
0,USA,AK,,83,1,0
0,USA,AK,,84,1,0
0,USA,AK,,85,1,0
0,USA,AK,,86,1,0
0,USA,AK,,87,1,0
0,USA,AK,,88,1,0
0,USA,AK,,89,1,0
0,USA,AK,,90,1,0
0,USA,AK,,91,1,0
0,USA,AK,,92,1,0
0,USA,AK,,93,1,0
0,USA,AK,,94,1,0
0,USA,AK,,95,1,0
0,USA,AK,,96,1,0
0,USA,AK,,97,1,0
0,USA,AK,,98,1,0
0,USA,AK,,99,1,0
0,USA,AK,,100,1,0
0,USA,AK,,101,1,0
0,USA,AK,,102,1,0
0,USA,AK,,103,1,0
0,USA,AK,,104,1,0
0,USA,AK,,105,1,0
0,USA,AK,,106,1,0
0,USA,AK,,107,1,0
0,USA,AK,,108,1,0
0,USA,AK,,109,1,0
0,USA,AK,,110,1,0
0,USA,AK,,111,1,0
0,USA,AK,,112,1,0
0,USA,AK,,113,1,0
0,USA,AK,,114,1,0
0,USA,AK,,115,1,0
0,USA,AK,,116,1,0
0,USA,AK,,117,1,0
0,USA,AK,,118,1,0
0,USA,AK,,119,1,0
0,USA,AK,,120,1,0
0,USA,AK,,121,1,0
0,USA,AK,,122,1,0
0,USA,AK,,123,1,0
