Warehouse,Country,Region/State,Zip/Postal Code,Weight (and above),Method,Shipping Price
0,USA,AK,,1,1,11.99
0,USA,AK,,2,1,11.99
0,USA,AK,,3,1,9.99
0,USA,AK,,4,1,9.99
0,USA,AK,,5,1,9.99
0,USA,AK,,6,1,0
0,USA,AK,,7,1,0
0,USA,AK,,8,1,0
0,USA,AK,,9,1,0
0,USA,AK,,10,1,0
0,USA,AK,,11,1,0
0,USA,AK,,12,1,0
0,USA,AZ,,1,1,11.99
0,USA,AZ,,2,1,11.99
0,USA,AZ,,3,1,9.99
0,USA,AZ,,4,1,9.99
0,USA,AZ,,5,1,9.99
0,USA,AZ,,6,1,0
0,USA,AZ,,7,1,0
0,USA,AZ,,8,1,0
0,USA,AZ,,9,1,0
0,USA,AZ,,10,1,0
0,USA,AZ,,11,1,0
0,USA,AZ,,12,1,0
0,USA,CA,,1,1,11.99
0,USA,CA,,2,1,11.99
0,USA,CA,,3,1,9.99
0,USA,CA,,4,1,9.99
0,USA,CA,,5,1,9.99
0,USA,CA,,6,1,0
0,USA,CA,,7,1,0
0,USA,CA,,8,1,0
0,USA,CA,,9,1,0
0,USA,CA,,10,1,0
0,USA,CA,,11,1,0
0,USA,CA,,12,1,0
0,USA,CO,,1,1,11.99
0,USA,CO,,2,1,11.99
0,USA,CO,,3,1,9.99
0,USA,CO,,4,1,9.99
0,USA,CO,,5,1,9.99
0,USA,CO,,6,1,0
0,USA,CO,,7,1,0
0,USA,CO,,8,1,0
0,USA,CO,,9,1,0
0,USA,CO,,10,1,0
0,USA,CO,,11,1,0
0,USA,CO,,12,1,0
0,USA,CT,,1,1,11.99
0,USA,CT,,2,1,11.99
0,USA,CT,,3,1,9.99
0,USA,CT,,4,1,9.99
0,USA,CT,,5,1,9.99
0,USA,CT,,6,1,0
0,USA,CT,,7,1,0
0,USA,CT,,8,1,0
0,USA,CT,,9,1,0
0,USA,CT,,10,1,0
0,USA,CT,,11,1,0
0,USA,CT,,12,1,0
0,USA,DC,,1,1,11.99
0,USA,DC,,2,1,11.99
0,USA,DC,,3,1,9.99
0,USA,DC,,4,1,9.99
0,USA,DC,,5,1,9.99
0,USA,DC,,6,1,0
0,USA,DC,,7,1,0
0,USA,DC,,8,1,0
0,USA,DC,,9,1,0
0,USA,DC,,10,1,0
0,USA,DC,,11,1,0
0,USA,DC,,12,1,0
0,USA,FL,,1,1,11.99
0,USA,FL,,2,1,11.99
0,USA,FL,,3,1,9.99
0,USA,FL,,4,1,9.99
0,USA,FL,,5,1,9.99
0,USA,FL,,6,1,0
0,USA,FL,,7,1,0
0,USA,FL,,8,1,0
0,USA,FL,,9,1,0
0,USA,FL,,10,1,0
0,USA,FL,,11,1,0
0,USA,FL,,12,1,0
0,USA,GA,,1,1,11.99
0,USA,GA,,2,1,11.99
0,USA,GA,,3,1,9.99
0,USA,GA,,4,1,9.99
0,USA,GA,,5,1,9.99
0,USA,GA,,6,1,0
0,USA,GA,,7,1,0
0,USA,GA,,8,1,0
0,USA,GA,,9,1,0
0,USA,GA,,10,1,0
0,USA,GA,,11,1,0
0,USA,GA,,12,1,0
0,USA,HI,,1,1,11.99
0,USA,HI,,2,1,11.99
0,USA,HI,,3,1,9.99
0,USA,HI,,4,1,9.99
0,USA,HI,,5,1,9.99
0,USA,HI,,6,1,0
0,USA,HI,,7,1,0
0,USA,HI,,8,1,0
0,USA,HI,,9,1,0
0,USA,HI,,10,1,0
0,USA,HI,,11,1,0
0,USA,HI,,12,1,0
0,USA,ID,,1,1,11.99
0,USA,ID,,2,1,11.99
0,USA,ID,,3,1,9.99
0,USA,ID,,4,1,9.99
0,USA,ID,,5,1,9.99
0,USA,ID,,6,1,0
