Warehouse,Country,Region/State,Zip/Postal Code,# of Items (and above),Method,Shipping Price
0,USA,AK,,1,1,19.8
0,USA,AK,,2,1,21.8
0,USA,AK,,3,1,23.8
0,USA,AK,,4,1,25.8
0,USA,AK,,5,1,27.8
0,USA,AK,,6,1,29.8
0,USA,AK,,7,1,31.8
0,USA,AK,,8,1,33.8
0,USA,AK,,9,1,35.8
0,USA,AK,,10,1,37.8
0,USA,AK,,11,1,39.8
0,USA,AK,,12,1,41.8
0,USA,AK,,13,1,43.8
0,USA,AK,,14,1,45.8
0,USA,AK,,15,1,47.8
0,USA,AK,,16,1,49.8
0,USA,AK,,17,1,51.8
0,USA,AK,,18,1,53.8
0,USA,AK,,19,1,55.8
0,USA,AK,,20,1,57.8
0,USA,AZ,,1,1,19.8
0,USA,AZ,,2,1,21.8
0,USA,AZ,,3,1,23.8
0,USA,AZ,,4,1,25.8
0,USA,AZ,,5,1,27.8
0,USA,AZ,,6,1,29.8
0,USA,AZ,,7,1,31.8
0,USA,AZ,,8,1,33.8
0,USA,AZ,,9,1,35.8
0,USA,AZ,,10,1,37.8
0,USA,AZ,,11,1,39.8
0,USA,AZ,,12,1,41.8
0,USA,AZ,,13,1,43.8
0,USA,AZ,,14,1,45.8
0,USA,AZ,,15,1,47.8
0,USA,AZ,,16,1,49.8
0,USA,AZ,,17,1,51.8
0,USA,AZ,,18,1,53.8
0,USA,AZ,,19,1,55.8
0,USA,AZ,,20,1,57.8
0,USA,CA,,1,1,19.8
0,USA,CA,,2,1,21.8
0,USA,CA,,3,1,23.8
0,USA,CA,,4,1,25.8
0,USA,CA,,5,1,27.8
0,USA,CA,,6,1,29.8
0,USA,CA,,7,1,31.8
0,USA,CA,,8,1,33.8
0,USA,CA,,9,1,35.8
0,USA,CA,,10,1,37.8
0,USA,CA,,11,1,39.8
0,USA,CA,,12,1,41.8
0,USA,CA,,13,1,43.8
0,USA,CA,,14,1,45.8
0,USA,CA,,15,1,47.8
0,USA,CA,,16,1,49.8
0,USA,CA,,17,1,51.8
0,USA,CA,,18,1,53.8
0,USA,CA,,19,1,55.8
0,USA,CA,,20,1,57.8
0,USA,CO,,1,1,19.8
0,USA,CO,,2,1,21.8
0,USA,CO,,3,1,23.8
0,USA,CO,,4,1,25.8
0,USA,CO,,5,1,27.8
0,USA,CO,,6,1,29.8
0,USA,CO,,7,1,31.8
0,USA,CO,,8,1,33.8
0,USA,CO,,9,1,35.8
0,USA,CO,,10,1,37.8
0,USA,CO,,11,1,39.8
0,USA,CO,,12,1,41.8
0,USA,CO,,13,1,43.8
0,USA,CO,,14,1,45.8
0,USA,CO,,15,1,47.8
0,USA,CO,,16,1,49.8
0,USA,CO,,17,1,51.8
0,USA,CO,,18,1,53.8
0,USA,CO,,19,1,55.8
0,USA,CO,,20,1,57.8
0,USA,CT,,1,1,19.8
0,USA,CT,,2,1,21.8
0,USA,CT,,3,1,23.8
0,USA,CT,,4,1,25.8
0,USA,CT,,5,1,27.8
0,USA,CT,,6,1,29.8
0,USA,CT,,7,1,31.8
0,USA,CT,,8,1,33.8
0,USA,CT,,9,1,35.8
0,USA,CT,,10,1,37.8
0,USA,CT,,11,1,39.8
0,USA,CT,,12,1,41.8
0,USA,CT,,13,1,43.8
0,USA,CT,,14,1,45.8
0,USA,CT,,15,1,47.8
0,USA,CT,,16,1,49.8
0,USA,CT,,17,1,51.8
0,USA,CT,,18,1,53.8
