Warehouse,Country,Region/State,Zip/Postal Code,# of Items (and above),Method,Shipping Price
0,USA,AK,,1,1,13.99
0,USA,AK,,2,1,14.08
0,USA,AK,,3,1,12.97
0,USA,AK,,4,1,12.71
0,USA,AK,,5,1,11.27
0,USA,AK,,6,1,9.69
0,USA,AK,,7,1,8.93
0,USA,AK,,8,1,8.17
0,USA,AK,,9,1,0
0,USA,AK,,10,1,0
0,USA,AK,,11,1,0
0,USA,AK,,12,1,0
0,USA,AK,,13,1,0
0,USA,AK,,14,1,0
0,USA,AK,,15,1,0
0,USA,AK,,16,1,0
0,USA,AK,,17,1,0
0,USA,AK,,18,1,0
0,USA,AK,,19,1,0
0,USA,AK,,20,1,0
0,USA,AK,,21,1,0
0,USA,AK,,22,1,0
0,USA,AK,,23,1,0
0,USA,AK,,24,1,0
0,USA,AK,,25,1,0
0,USA,AK,,26,1,0
0,USA,AK,,27,1,0
0,USA,AK,,28,1,0
0,USA,AK,,29,1,0
0,USA,AK,,30,1,0
0,USA,AK,,31,1,0
0,USA,AK,,32,1,0
0,USA,AK,,33,1,0
0,USA,AK,,34,1,0
0,USA,AK,,35,1,0
0,USA,AK,,36,1,0
0,USA,AK,,37,1,0
0,USA,AK,,38,1,0
0,USA,AK,,39,1,0
0,USA,AK,,40,1,0
0,USA,AK,,41,1,0
0,USA,AK,,42,1,0
0,USA,AK,,43,1,0
0,USA,AK,,44,1,0
0,USA,AK,,45,1,0
0,USA,AK,,46,1,0
0,USA,AK,,47,1,0
0,USA,AK,,48,1,0
0,USA,AK,,49,1,0
0,USA,AK,,50,1,0
0,USA,AZ,,1,1,13.99
0,USA,AZ,,2,1,14.08
0,USA,AZ,,3,1,12.97
0,USA,AZ,,4,1,12.71
0,USA,AZ,,5,1,11.27
0,USA,AZ,,6,1,9.69
0,USA,AZ,,7,1,8.93
0,USA,AZ,,8,1,8.17
0,USA,AZ,,9,1,0
0,USA,AZ,,10,1,0
0,USA,AZ,,11,1,0
0,USA,AZ,,12,1,0
0,USA,AZ,,13,1,0
0,USA,AZ,,14,1,0
0,USA,AZ,,15,1,0
0,USA,AZ,,16,1,0
0,USA,AZ,,17,1,0
0,USA,AZ,,18,1,0
0,USA,AZ,,19,1,0
0,USA,AZ,,20,1,0
0,USA,AZ,,21,1,0
0,USA,AZ,,22,1,0
0,USA,AZ,,23,1,0
0,USA,AZ,,24,1,0
0,USA,AZ,,25,1,0
0,USA,AZ,,26,1,0
0,USA,AZ,,27,1,0
0,USA,AZ,,28,1,0
0,USA,AZ,,29,1,0
0,USA,AZ,,30,1,0
0,USA,AZ,,31,1,0
0,USA,AZ,,32,1,0
0,USA,AZ,,33,1,0
0,USA,AZ,,34,1,0
0,USA,AZ,,35,1,0
0,USA,AZ,,36,1,0
0,USA,AZ,,37,1,0
0,USA,AZ,,38,1,0
0,USA,AZ,,39,1,0
0,USA,AZ,,40,1,0
0,USA,AZ,,41,1,0
0,USA,AZ,,42,1,0
0,USA,AZ,,43,1,0
0,USA,AZ,,44,1,0
0,USA,AZ,,45,1,0
0,USA,AZ,,46,1,0
0,USA,AZ,,47,1,0
0,USA,AZ,,48,1,0
0,USA,AZ,,49,1,0
0,USA,AZ,,50,1,0
0,USA,CA,,1,1,13.99
0,USA,CA,,2,1,14.08
0,USA,CA,,3,1,12.97
0,USA,CA,,4,1,12.71
0,USA,CA,,5,1,11.27
0,USA,CA,,6,1,9.69
0,USA,CA,,7,1,8.93
0,USA,CA,,8,1,8.17
0,USA,CA,,9,1,0
0,USA,CA,,10,1,0
0,USA,CA,,11,1,0
0,USA,CA,,12,1,0
0,USA,CA,,13,1,0
0,USA,CA,,14,1,0
0,USA,CA,,15,1,0
0,USA,CA,,16,1,0
0,USA,CA,,17,1,0
0,USA,CA,,18,1,0
0,USA,CA,,19,1,0
0,USA,CA,,20,1,0
0,USA,CA,,21,1,0
0,USA,CA,,22,1,0
0,USA,CA,,23,1,0
0,USA,CA,,24,1,0
0,USA,CA,,25,1,0
0,USA,CA,,26,1,0
0,USA,CA,,27,1,0
0,USA,CA,,28,1,0
0,USA,CA,,29,1,0
0,USA,CA,,30,1,0
0,USA,CA,,31,1,0
0,USA,CA,,32,1,0
0,USA,CA,,33,1,0
0,USA,CA,,34,1,0
0,USA,CA,,35,1,0
0,USA,CA,,36,1,0
0,USA,CA,,37,1,0
0,USA,CA,,38,1,0
0,USA,CA,,39,1,0
0,USA,CA,,40,1,0
0,USA,CA,,41,1,0
0,USA,CA,,42,1,0
0,USA,CA,,43,1,0
0,USA,CA,,44,1,0
0,USA,CA,,45,1,0
0,USA,CA,,46,1,0
0,USA,CA,,47,1,0
0,USA,CA,,48,1,0
0,USA,CA,,49,1,0
0,USA,CA,,50,1,0
0,USA,CO,,1,1,13.99
0,USA,CO,,2,1,14.08
0,USA,CO,,3,1,12.97
0,USA,CO,,4,1,12.71
0,USA,CO,,5,1,11.27
0,USA,CO,,6,1,9.69
0,USA,CO,,7,1,8.93
0,USA,CO,,8,1,8.17
0,USA,CO,,9,1,0
0,USA,CO,,10,1,0
0,USA,CO,,11,1,0
0,USA,CO,,12,1,0
0,USA,CO,,13,1,0
0,USA,CO,,14,1,0
0,USA,CO,,15,1,0
